Article;Title;Unit;Count;Type;Price;GOST;Package;Characteristic
71011;Глазурь какаосодерж.кондит.ЗАХЕРКРЕМ ;кг;;Фруктовое пюре;2'275.20;;(ведро 6 кг.);
75046;Глазурь пастообразн.конд.ШОКОСМАРТ ;кг;;Фруктовое пюре;1'764.00;;(ведро 5 кг.);
75045;Глазурь пастообразная жир.ШОКОСМАРТ белая ;кг;;Фруктовое пюре;2'016.00;;(ведро 5 кг.);
71109;Шоколадная начинка ВАНДЕРШОК белая ;кг;;Фруктовое пюре;2'736.00;;(ведро 5 кг.);
72799;Начинка КОБЕРШОК БЬЯНКО ;кг;;Фруктовое пюре;2'736.00;;(ведро 6 кг.);
71123;Глазурь пастообразная ГАБРИЭЛА БЕЛАЯ ;кг;;Фруктовое пюре;4'104.00;;(ведро 13 кг.);
71124;Глазурь пастообразная шок.ГАБРИЭЛА ТЕМНАЯ ;кг;;Фруктовое пюре;3'456.00;;(ведро 13 кг.);
75400;Паста шок.орех.ФАРЧИТОЗА ТОП ;кг;;Фруктовое пюре;1'980.00;;(ведро 6 кг.);
75401;Паста шок.орех.ФАРЧИТОЗА ТОП ;кг;;Фруктовое пюре;3'852.00;;(ведро 12 кг.);
75412;Паста шок.орех.ФАРЧИТОЗА ;кг;;Фруктовое пюре;1'598.40;;(ведро 6 кг.);
75402;Паста шок.орех.НОЧЧОЛИТА СУПРЕМ ;кг;;Фруктовое пюре;2'160.00;;(ведро 6 кг.);
75403;Паста шок.орех.НОЧЧОЛИТА СУПРЕМ ;кг;;Фруктовое пюре;3'620.00;;(ведро 12 кг.);
75413;Паста шок.орех.ФАРЧИТОЗА ;кг;;Фруктовое пюре;3'240.00;;(ведро 12 кг.);
75414;Паста шок.орех.ФАРЧИТОЗА ;кг;;Фруктовое пюре;5'040.00;;(ведро 20 кг.);
75405;Паста шок.орех.НОЧЧОЛИТА ТОП ;кг;;Фруктовое пюре;1'980.00;;(ведро 6 кг.);
75406;Паста шок.орех.НОЧЧОЛИТА ТОП ;кг;;Фруктовое пюре;3'852.00;;(ведро 12 кг.);
75408;Паста ореховая НОЧЧИОБЬЯНКА КРУАССАН ;кг;;Фруктовое пюре;2'412.00;;(ведро 6 кг.);
75407;Паста-наполнитель НОВЕЛЛА АВОРИО ;кг;;Фруктовое пюре;1'700.00;;(ведро 6 кг.);
75000;Паста-наполнитель РОКСИКРЕМ ;кг;;Фруктовое пюре;3'150.00;;(ведро 12 кг.);
75002;Паста шок.орех.ДЖАНДУЯ КРУАССАН термостойкая ;кг;;Фруктовое пюре;3'240.00;;(ведро 12 кг.);
75409;Паста ореховая ФИСТАШКА КРЕМ 10 ;кг;;Фруктовое пюре;2'700.00;;(ведро 5 кг.);
75410;Паста ореховая ФИСТАШКА КРЕМ ТОП 15 ;кг;;Фруктовое пюре;3'204.00;;(ведро 5 кг.);
75411;Паста ореховая ФИСТАШКА КРУАССАН ;кг;;Фруктовое пюре;3'456.00;;(ведро 5 кг.);
75001;Глазурь пастообразн.конд.ШОКОКРЕМ ;кг;;Фруктовое пюре;396;;(ведро 1 кг.);
75005;Глазурь пастообразн.конд.ШОКОКРЕМ ;кг;;Фруктовое пюре;6'120.00;;(ведро 25 кг.);
75007;Глазурь пастообр.шок.МОРЕТТА БИТТЕР термост. ;кг;;Фруктовое пюре;540;;(ведро 1 кг.);
75009;Паста шоколадная МОРЕТТА ЭКСТРИМ ;кг;;Фруктовое пюре;540;;(ведро 1 кг.);
75011;Паста шоколадная МОРЕТТА ЭКСТРИМ ;кг;;Фруктовое пюре;2'160.00;;(ведро 6 кг.);
72707;Паста шоколадная КРАНФИЛ КАРАМЕЛЬ ;кг;;Фруктовое пюре;2'268.00;;(ведро 3 кг.);
72708;Паста шоколадная КРАНФИЛ ФИСТАШКА ;кг;;Фруктовое пюре;3'204.00;;(ведро 3 кг.);
72709;Паста шоколадная КРАНФИЛ БЕЛЫЙ ШОКОЛАД ;кг;;Фруктовое пюре;2'592.00;;(ведро 3 кг.);
72710;Паста шоколадная КРАНФИЛ ТЕМНЫЙ ШОКОЛАД ;кг;;Фруктовое пюре;2'448.00;;(ведро 3 кг.);
72723;Паста шоколадная ДЕЛИКРИСП соленая карамель ;кг;;Фруктовое пюре;3'492.00;;(ведро 5 кг.);
72724;Паста шоколадная ДЕЛИКРИСП кокос ;кг;;Фруктовое пюре;2'844.00;;(ведро 5 кг.);
72725;Паста шоколадная ДЕЛИКРИСП красные ягоды ;кг;;Фруктовое пюре;4'968.00;;(ведро 5 кг.);
75014;Паста ПРАЛИНЕ ГРЕЦКИЙ ОРЕХ ;кг;;Фруктовое пюре;1'270.00;;(ведро 0.9 кг.);
75012;Паста ПРАЛИНЕ ДЖАНДУЯ ;кг;;Фруктовое пюре;840;;(ведро 0.9 кг.);
75021;Паста ПРАЛИНЕ АРАХИС-ШОКОЛАД ;кг;;Фруктовое пюре;680;;(ведро 0.9 кг.);
75119;Паста сахарно-ореховая ПРАЛИНЕ (НУГА) светлая ;кг;;Фруктовое пюре;2'592.00;;(пакет 2.5 кг.);
75022;Паста ПРАЛИНЕ МИНДАЛЬ-МЯТА ;кг;;Фруктовое пюре;1'485.00;;(ведро 0.9 кг.);
71237;Начинка ФРУТТИДОР ЯБЛОКО ;кг;;Фруктовое пюре;1'440.00;;(ведро 3.3 кг.);
72796;Начинка ФРУТТИДОР АБРИКОС ;кг;;Фруктовое пюре;1'800.00;;(ведро 3.3 кг.);
72795;Начинка ФРУТТИДОР ЧЕРНИКА ;кг;;Фруктовое пюре;1'872.00;;(ведро 3.3 кг.);
72798;Начинка ФРУТТИДОР АПЕЛЬСИН ;кг;;Фруктовое пюре;1'728.00;;(ведро 3.3 кг.);
72797;Начинка ФРУТТИДОР ПЕРСИК ;кг;;Фруктовое пюре;1'368.00;;(ведро 3.3 кг.);
72727;Начинка ФРУТТИДОР АМАРЕНА ;кг;;Фруктовое пюре;1'893.60;;(ведро 5.5 кг.);
72728;Начинка ФРУТТИДОР ЛЕСНЫЕ ЯГОДЫ ;кг;;Фруктовое пюре;1'764.00;;(ведро 3.3 кг.);
72729;Начинка ФРУТТИДОР ГРУША ;кг;;Фруктовое пюре;1'317.60;;(ведро 3.3 кг.);
72730;Начинка ФРУТТИДОР МАНГО ;кг;;Фруктовое пюре;1'548.00;;(ведро 3.3 кг.);
72731;Начинка ФРУТТИДОР ТРОПИЧЕСКИЕ ФРУКТЫ ;кг;;Фруктовое пюре;1'620.00;;(ведро 3.3 кг.);
72732;Начинка ФРУТТИДОР КЛУБНИКА ;кг;;Фруктовое пюре;1'800.00;;(ведро 3.3 кг.);
72733;Начинка ФРУТТИДОР МАЛИНА ;кг;;Фруктовое пюре;1'908.00;;(ведро 3.3 кг.);
72734;Начинка ФРУТТИДОР КРАСНАЯ ЧЕРЕШНЯ ;кг;;Фруктовое пюре;1'728.00;;(ведро 3.3 кг.);
75036;Начинка КРЕМ ЛИМОН ;кг;;Фруктовое пюре;1'692.00;;(ведро 6 кг.);
75037;Начинка КРЕМ АПЕЛЬСИН ;кг;;Фруктовое пюре;1'692.00;;(ведро 6 кг.);
75038;Начинка КРЕМ ЛЕСНЫЕ ЯГОДЫ И ЙОГУРТ ;кг;;Фруктовое пюре;1'980.00;;(ведро 6 кг.);
75041;Начинка фруктовая ЯБЛОКО ПИНК кубики 12х12 мм ;кг;;Фруктовое пюре;576;;(банка 4.6 кг.);
75073;Начинка фруктовая ЯБЛОКО ПИНК дольки ;кг;;Фруктовое пюре;612;;(банка 4.6 кг.);
75056;Начинка фруктовая ЯБЛОКО дольки ;кг;;Фруктовое пюре;468;;(банка 4.6 кг.);
75170;Начинка фрукт.КОНФРУТТИ черника ;кг;;Фруктовое пюре;2'736.00;;(ведро 5 кг.);
75173;Начинка фрукт.КОНФРУТТИ абрикос ;кг;;Фруктовое пюре;2'232.00;;(ведро 5 кг.);
75175;Паста-пюре фрукт.КОНФРУТТИ НАТУР клубника ;кг;;Фруктовое пюре;720;;(пакет 1 кг.);
75176;Паста-пюре фрукт.КОНФРУТТИ НАТУР малина ;кг;;Фруктовое пюре;936;;(пакет 1 кг.);
75177;Паста-пюре фрукт.КОНФРУТТИ НАТУР садов.ягоды ;кг;;Фруктовое пюре;828;;(пакет 1 кг.);
75178;Паста-пюре фрукт.КОНФРУТТИ НАТУР манго ;кг;;Фруктовое пюре;756;;(пакет 1 кг.);
75179;Паста-пюре фрукт.КОНФРУТТИ НАТУР маракуйя ;кг;;Фруктовое пюре;990;;(пакет 1 кг.);
75180;Паста-пюре фрукт.КОНФРУТТИ НАТУР банан ;кг;;Фруктовое пюре;684;;(пакет 1 кг.);
75181;Паста-пюре фрукт.КОНФРУТТИ НАТУР ананас ;кг;;Фруктовое пюре;864;;(пакет 1 кг.);
75182;Паста-пюре фрукт.КОНФРУТТИ НАТУР абрикос ;кг;;Фруктовое пюре;698,4;;(пакет 1 кг.);
75190;Паста-пюре фрукт.КОНФРУТТИ НАТУР вишня Гриот ;кг;;Фруктовое пюре;756;;(пакет 1 кг.);
75191;Паста-пюре фрукт.КОНФРУТТИ НАТУР мандарин ;кг;;Фруктовое пюре;756;;(пакет 1 кг.);
75192;Паста-пюре фрукт.КОНФРУТТИ НАТУР груша Вильям ;кг;;Фруктовое пюре;684;;(пакет 1 кг.);
70942;Паста кондитерская ДЕКОР СЕРЕБРО ;кг;;Десертная паста;1'296.00;;(банка 1.5 кг.);
70943;Паста кондитерская ДЕКОР ЗОЛОТО ;кг;;Десертная паста;1'368.00;;(банка 1.5 кг.);
70944;Паста кондитерская ДЕКОР БРОНЗА ;кг;;Десертная паста;1'152.00;;(банка 1.5 кг.);
74084;Паста РОМ КРЕОЛЬСКИЙ АРОМА ;кг;;Десертная паста;1'080.00;;(флакон 1 кг.);
74083;Паста ГОРЬКИЙ МИНДАЛЬ АРОМА ;кг;;Десертная паста;1'008.00;;(флакон 1 кг.);
72241;Паста ВАНИЛЬ АРОМА ;кг;;Десертная паста;936;;(флакон 1 кг.);
72242;Паста КОФЕ АРОМА ;кг;;Десертная паста;1'044.00;;(флакон 1 кг.);
72245;Паста ЛИМОН АРОМА ;кг;;Десертная паста;1'008.00;;(флакон 1 кг.);
72246;Паста АПЕЛЬСИН АРОМА ;кг;;Десертная паста;871,2;;(флакон 1 кг.);
72247;Паста КЛУБНИКА АРОМА ;кг;;Десертная паста;900;;(флакон 1 кг.);
72248;Паста ФИСТАШКА АРОМА ;кг;;Десертная паста;864;;(флакон 1 кг.);
72021;Комплексная пищ.добавка премикс ЙОГУРТ-100 ;кг;;Десертная паста;1'152.00;;(пакет 1 кг.);
72018;Комплексная пищевая добавка премикс КОКОС-100 ;кг;;Десертная паста;1'512.00;;(пакет 1 кг.);
72718;Паста десертная КОКОС ;кг;;Десертная паста;2'556.00;;(ведро 3 кг.);
72234;Паста десертная ЛЕСНОЙ ОРЕХ ;кг;;Десертная паста;7'200.00;;(ведро 3 кг.);
72704;Паста десертная МАСКАРПОНЕ ;кг;;Десертная паста;1'440.00;;(банка 1.2 кг.);
72253;Паста десертная ФИСТАШКА ;кг;;Десертная паста;5'760.00;;(ведро 3 кг.);
75204;Паста десертная ФИСТАШКА ИТАЛИЯ НК ;кг;;Десертная паста;5'904.00;;(ведро 3 кг.);
72254;Паста десертная ГРЕЦКИЙ ОРЕХ ;кг;;Десертная паста;6'192.00;;(ведро 3 кг.);
72256;Паста десертная ПЕЧЕНЬЕ ;кг;;Десертная паста;3'384.00;;(ведро 3 кг.);
72258;Паста десертная СЛИВОЧНАЯ КАРАМЕЛЬ ;кг;;Десертная паста;2'736.00;;(ведро 3 кг.);
72263;Паста десертная ВАНИЛЬ КЛАССИК ;кг;;Десертная паста;5'076.00;;(ведро 3 кг.);
72705;Паста десертная ЗАБАЙОНЕ ;кг;;Десертная паста;1'332.00;;(банка 1.2 кг.);
72274;Паста десертная МЯТА ;кг;;Десертная паста;3'096.00;;(ведро 3 кг.);
72289;Паста десертная ШОКОЛАД ;кг;;Десертная паста;2'520.00;;(ведро 3 кг.);
72287;Паста десертная КАРАМЕЛЬ ;кг;;Десертная паста;2'520.00;;(ведро 3 кг.);
72702;Паста десертная ТИРАМИСУ ;кг;;Десертная паста;1'512.00;;(банка 1.2 кг.);
72719;Паста десертная ЖЕВАТЕЛЬНАЯ РЕЗИНКА ;кг;;Десертная паста;2'664.00;;(ведро 3 кг.);
72521;Паста десертная ЛЕСНАЯ ЯГОДА ;кг;;Десертная паста;3'528.00;;(ведро 3 кг.);
72683;Паста десертная МАЛИНА ;кг;;Десертная паста;4'320.00;;(ведро 3 кг.);
72684;Паста десертная ПЕРСИК с кусочками ;кг;;Десертная паста;2'880.00;;(ведро 3 кг.);
72685;Паста десертная МАРАКУЙЯ ;кг;;Десертная паста;3'024.00;;(ведро 3 кг.);
72695;Паста десертная КЛУБНИКА ;кг;;Десертная паста;1'512.00;;(ведро 1.4 кг.);
72696;Паста десертная ДЫНЯ с кусочками ;кг;;Десертная паста;2'700.00;;(ведро 3 кг.);
72697;Паста десертная ЗЕЛЕНОЕ ЯБЛОКО с кусочками ;кг;;Десертная паста;3'168.00;;(ведро 3 кг.);
72698;Паста десертная АНАНАС с кусочками ;кг;;Десертная паста;2'808.00;;(ведро 3 кг.);
72699;Паста десертная БАНАН ;кг;;Десертная паста;2'484.00;;(ведро 3 кг.);
72700;Паста десертная МАНГО с кусочками ;кг;;Десертная паста;3'096.00;;(ведро 3 кг.);
72721;Паста десертная ЛИМОННАЯ ЦЕДРА ;кг;;Десертная паста;864;;(банка 1.5 кг.);
72722;Паста десертная АПЕЛЬСИНОВАЯ ЦЕДРА ;кг;;Десертная паста;936;;(банка 1.5 кг.);
72146;Наполнитель МОЛОЧНЫЙ ШОКОЛАД и злаки ;кг;;топпинг;2'426.40;;(ведро 3 кг.);
72147;Наполнитель ГРАНАТ ;кг;;топпинг;2'167.20;;(ведро 3 кг.);
72497;Топпинг ВИШНЯ ;кг;;топпинг;331,2;;(бутылка 1 кг.);
72496;Топпинг АПЕЛЬСИН ;кг;;топпинг;331,2;;(бутылка 1 кг.);
72495;Топпинг МАРШМЕЛЛОУ ;кг;;топпинг;331,2;;(бутылка 1 кг.);
72494;Топпинг ПРЯНОЕ ПЕЧЕНЬЕ ;кг;;топпинг;421,2;;(бутылка 1 кг.);
72493;Топпинг МАЛИНА ;кг;;топпинг;331,2;;(бутылка 1 кг.);
72717;Топпинг ШОКОЛАД ;кг;;топпинг;331,2;;(бутылка 1 кг.);
72794;Топпинг КЛУБНИКА ;кг;;топпинг;331,2;;(бутылка 1 кг.);
72618;Топпинг КАРАМЕЛЬ ;кг;;топпинг;331,2;;(флакон 1 кг.);
72498;Топпинг МАНГО ;кг;;топпинг;331,2;;(флакон 1 кг.);
72499;Топпинг САДОВЫЕ ЯГОДЫ ;кг;;топпинг;331,2;;(флакон 1 кг.);
72713;Топпинг КИВИ ;кг;;топпинг;324;;(флакон 1.2 кг.);
72706;Наполнитель шоколадный МАКАО ;кг;;топпинг;2'304.00;;(ведро 3 кг.);
72712;Наполнитель ВИШНЯ ;кг;;топпинг;2'304.00;;(ведро 3 кг.);
72720;Наполнитель ШОКОЛАД С ПЕЧЕНЬЕМ ;кг;;топпинг;2'376.00;;(ведро 3 кг.);
72593;Паста десертная АБРИКОС ;кг;;Десертная паста;3'888.00;;(банка 3 кг.);
72801;Паста десертная ЗЕМЛЯНИКА ;кг;;Десертная паста;5'040.00;;(банка 3 кг.);
72802;Паста десертная ВИШНЯ ;кг;;Десертная паста;3'960.00;;(банка 3 кг.);
72522;Паста десертная ГРУША ;кг;;Десертная паста;4'163.76;;(ведро 3 кг.);
72041;Паста десертная ПРЯНОЕ ПЕЧЕНЬЕ ;кг;;Десертная паста;7'200.00;;(банка 5 кг.);
72120;Паста десертная БИТТЕР ЛИМОН ;кг;;Десертная паста;4'212.00;;(ведро 3 кг.);
72150;Паста десертная МЯТА ;кг;;Десертная паста;4'060.80;;(ведро 3 кг.);
72151;Паста десертная МАНДАРИН ;кг;;Десертная паста;4'464.00;;(банка 3 кг.);
72506;Паста десертная ВАНИЛЬ ;кг;;Десертная паста;5'040.00;;(ведро 4.5 кг.);
72507;Паста десертная ВАНИЛЬ БУРБОН ;кг;;Десертная паста;9'000.00;;(ведро 4.5 кг.);
72508;Паста десертная КАРАМЕЛЬ ;кг;;Десертная паста;4'896.00;;(банка 4.5 кг.);
72514;Паста десертная КАПУЧИНО ;кг;;Десертная паста;4'716.00;;(ведро 3 кг.);
72524;Паста десертная КЛУБНИКА ;кг;;Десертная паста;4'032.00;;(банка 3 кг.);
72525;Паста десертная МАНГО ;кг;;Десертная паста;3'996.00;;(банка 3 кг.);
72526;Паста десертная АНАНАС ;кг;;Десертная паста;3'744.00;;(ведро 3 кг.);
72527;Паста десертная ДЫНЯ ;кг;;Десертная паста;3'758.40;;(ведро 3 кг.);
72528;Паста десертная КИВИ ;кг;;Десертная паста;4'032.00;;(банка 3 кг.);
72539;Паста десертная ЧЕРНАЯ СМОРОДИНА ;кг;;Десертная паста;5'241.60;;(ведро 3 кг.);
72562;Паста десертная БАНАН ;кг;;Десертная паста;3'564.00;;(ведро 3 кг.);
72564;Паста десертная АНАНАС ;кг;;Десертная паста;3'715.20;;(ведро 3 кг.);
72565;Паста десертная МАЛИНА ;кг;;Десертная паста;3'715.20;;(ведро 3 кг.);
72577;Паста десертная ЛЕСНЫЕ ЯГОДЫ ;кг;;Десертная паста;4'140.00;;(ведро 3 кг.);
72587;Паста десертная ПЕРСИК ;кг;;Десертная паста;3'715.20;;(ведро 3 кг.);
72591;Паста десертная МАРАКУЙЯ ;кг;;Десертная паста;4'680.00;;(ведро 3 кг.);
72595;Паста десертная РОЗА ;кг;;Десертная паста;3'628.80;;(ведро 3 кг.);
72596;Паста десертная АПЕЛЬСИН ;кг;;Десертная паста;3'852.00;;(ведро 3 кг.);
72599;Паста десертная МАЛАГА ;кг;;Десертная паста;6'264.00;;(банка 5 кг.);
72555;Паста десертная ПИНА КОЛАДА ;кг;;Десертная паста;5'904.00;;(банка 4 кг.);
72575;Паста десертная ВИСКИКРЕМ ;кг;;Десертная паста;9'360.00;;(банка 4.5 кг.);
72543;Паста десертная БИСКОТТО ;кг;;Десертная паста;6'840.00;;(ведро 4.5 кг.);
72579;Паста десертная АМАЛЬФИ ;кг;;Десертная паста;9'216.00;;(банка 3.5 кг.);
72542;Паста десертная НЬЮ ЙО ;кг;;Десертная паста;9'000.00;;(ведро 4.5 кг.);
72515;Паста десертная ТИРАМИСУ ;кг;;Десертная паста;5'760.00;;(ведро 4 кг.);
72548;Паста десертная МЕКРАФ ;кг;;Десертная паста;9'360.00;;(банка 4 кг.);
72553;Паста десертная МИСТЕР НИКО ;кг;;Десертная паста;6'480.00;;(ведро 4 кг.);
72552;Паста десертная НОЧЧИОЛА-ЛА-ЛА ;кг;;Десертная паста;19'080.00;;(банка 5 кг.);
72554;Паста десертная ФИСТАШКА СИЦИЛИЙСКАЯ ;кг;;Десертная паста;31'104.00;;(банка 4 кг.);
72556;Паста десертная ФИСТАШКА ЧИСТАЯ ;кг;;Десертная паста;23'832.00;;(ведро 4 кг.);
72572;Паста десертная ЛАЗУРЬ ;кг;;Десертная паста;6'552.00;;(банка 5 кг.);
72574;Паста десертная БУБЛЬГУМ ;кг;;Десертная паста;7'704.00;;(банка 5 кг.);
72537;Паста десертная ПЕРСИК ;кг;;Десертная паста;3'096.00;;(ведро 2.5 кг.);
72576;Паста десертная ЗЕЛЕНЫЙ ЧАЙ ;кг;;Десертная паста;4'334.40;;(банка 2.5 кг.);
72516;Паста десертная ГРУША ;кг;;Десертная паста;3'528.00;;(ведро 2.5 кг.);
72582;Паста десертная МАНДАРИН ;кг;;Десертная паста;3'600.00;;(банка 2.5 кг.);
72566;Паста десертная ГУСТОКРЕМ ЛАЙМЕТТА ;кг;;Десертная паста;2'880.00;;(банка 1.5 кг.);
72567;Паста десертная ГУСТОКРЕМ АПЕЛЬСИН ;кг;;Десертная паста;2'880.00;;(банка 1.5 кг.);
72563;Паста десертная ЧЕРРИ МАНИЯ ;кг;;Десертная паста;7'632.00;;(банка 5 кг.);
72580;Паста десертная РОЗОВЫЙ ГРЕЙПФРУТ ;кг;;Десертная паста;3'888.00;;(банка 2.5 кг.);
72585;Паста десертная ТРОПИК ;кг;;Десертная паста;3'672.00;;(банка 2.5 кг.);
72637;Паста десертная ЗЕЛЕНОЕ ЯБЛОКО ;кг;;Десертная паста;3'801.60;;(ведро 3 кг.);
84080;Черешня красная МИНИ 14/16 мм.НАППИ ;кг;;Цукаты;2'628.00;;(короб 5 кг.);
84129;Черешня засах.красная 20/22 мм.с веточкой ;кг;;Цукаты;3'456.00;;(короб 5 кг.);
84131;Черешня засах.красная 20/22 мм.с веточкой ;кг;;Цукаты;720;;(короб 0.9 кг.);
84134;Черешня засах.красная 18/20 мм ИТАЛКАНДИТИ ;кг;;Цукаты;1'944.00;;(короб 4 кг.);
84081;Черешня засах.красная 20/22 мм.НАППИ ;кг;;Цукаты;2'088.00;;(короб 5 кг.);
84017;Черешня засах.красная 20/22 мм.АМБРОЗИО ;кг;;Цукаты;2'160.00;;(короб 5 кг.);
84014;Черешня засах.черная 20/22 мм.АМБРОЗИО ;кг;;Цукаты;2'376.00;;(короб 5 кг.);
84019;Черешня засах.зеленая 20/22 мм.АМБРОЗИО ;кг;;Цукаты;2'304.00;;(короб 5 кг.);
84018;Черешня засах.желтая 20/22 мм.АМБРОЗИО ;кг;;Цукаты;2'232.00;;(короб 5 кг.);
84133;Апельсиновые засах. дольки ИТАЛКАНДИТИ ;кг;;Цукаты;4'896.00;;(короб 10 кг.);
84023;Апельсин.корочка засах.кубик.6х6 мм.АМБРОЗИО ;кг;;Цукаты;1'008.00;;(короб 5 кг.);
84088;Апельсиновая корочка засах.куб.6х6 мм.НАППИ ;кг;;Цукаты;2'016.00;;(короб 10 кг.);
84086;Апельсиновая корочка засах.куб.4х4 мм.НАППИ ;кг;;Цукаты;1'044.00;;(короб 5 кг.);
84075;Апельсин.корочка засах.кубик.4х4 мм.АМБРОЗИО ;кг;;Цукаты;1'044.00;;(короб 5 кг.);
84027;Лимонная.корочка засах.кубик.6х6 мм.АМБРОЗИО ;кг;;Цукаты;1'224.00;;(короб 5 кг.);
84085;Лимонная корочка засах.кубик 6х6 мм.НАППИ ;кг;;Цукаты;1'260.00;;(короб 5 кг.);
84084;Лимонная корочка засах.кубик 4х4 мм.НАППИ ;кг;;Цукаты;1'260.00;;(короб 5 кг.);
84074;Лимонная.корочка засах.кубик.4х4 мм.АМБРОЗИО ;кг;;Цукаты;1'260.00;;(короб 5 кг.);
84060;Апельсин.корочка засах.полоска.6х60 мм. ;кг;;Цукаты;2'880.00;;(короб 5 кг.);
84061;Лимонная корочка засах.полоска.6х60 мм. ;кг;;Цукаты;3'528.00;;(короб 5 кг.);
84125;Фрукты засах.ассорти кубик.6х6 мм ;кг;;Цукаты;1'224.00;;(короб 5 кг.);
84057;Фрукты засах.разноцвет.кубик.6х6 мм.АМБРОЗИО ;кг;;Цукаты;1'224.00;;(короб 5 кг.);
84073;Фрукты засах.разноцвет.кубик.4х4 мм.АМБРОЗИО ;кг;;Цукаты;1'375.20;;(короб 5 кг.);
84041;Мандарин засах.целый АМБРОЗИО ;кг;;Цукаты;1'800.00;;(короб 5 кг.);
84043;Груша засах.целая красная АМБРОЗИО ;кг;;Цукаты;2'376.00;;(короб 5 кг.);
84047;Груша засах.целая зеленая АМБРОЗИО ;кг;;Цукаты;2'376.00;;(короб 5 кг.);
84049;Фрукты засах.целые ассорти АМБРОЗИО ;кг;;Цукаты;2'376.00;;(короб 5 кг.);
84076;Черешня АМАРЕНА в сиропе с веточкой 20/22 мм. ;кг;;Цукаты;2'304.00;;(банка 3.3 кг.);
84077;Черешня АМАРЕНА в сиропе 18/20 мм. ;кг;;Цукаты;518,4;;(банка 1 кг.);
84078;Черешня АМАРЕНА в сиропе 20/22 мм. ;кг;;Цукаты;2'376.00;;(банка 5 кг.);
84126;Черешня засах.АМАРЕНА ЭКСТРА14/16 мм ;кг;;Цукаты;828;;(короб 1 кг.);
84062;Лимонная корочка засах.кубик.9х9 мм.ЭКСТРА ;кг;;Цукаты;1'584.00;;(короб 5 кг.);
84026;Апельсин.корочка засах.кубик.9х9 мм.ЭКСТРА ;кг;;Цукаты;4'536.00;;(короб 10 кг.);
84002;Черешня с вет.коктейльная красн.Мараскино ;кг;;Цукаты;2'016.00;;(банка 4.8 кг.);
84124;Черешня КОКТЕЙЛЬ с веточкой красн.20/22 мм. ;кг;;Цукаты;2'052.00;;(банка 4.8 кг.);
84120;Черешня КОКТЕЙЛЬ с веточкой красн.18/20 мм. ;кг;;Цукаты;900;;(банка 1.95 кг.);
84001;Черешня с вет.коктейльная красн.Мараскино ;кг;;Цукаты;1'224.00;;(банка 3 кг.);
84148;Черешня КОКТЕЙЛЬ с веточкой красн. ;кг;;Цукаты;1'224.00;;(банка 3 кг.);
84147;Черешня КОКТЕЙЛЬ с веточкой красн. ;кг;;Цукаты;2'016.00;;(банка 4.8 кг.);
84149;Черешня КОКТЕЙЛЬ с веточкой желтая ;кг;;Цукаты;1'080.00;;(банка 3 кг.);
84150;Черешня КОКТЕЙЛЬ с веточкой зеленая ;кг;;Цукаты;1'080.00;;(банка 3 кг.);
84151;Черешня КОКТЕЙЛЬ с веточкой красн. НК ;кг;;Цукаты;1'224.00;;(банка 3 кг.);
84153;Черешня КОКТЕЙЛЬ с веточкой красн. ;кг;;Цукаты;432;;(банка 0.95 кг.);
84154;Черешня КОКТЕЙЛЬ с веточкой красн. ;кг;;Цукаты;432;;(банка 0.75 кг.);
84163;Черешня КОКТЕЙЛЬ с веточкой зелен. ;кг;;Цукаты;450;;(банка 0.95 кг.);
84173;Черешня КОКТЕЙЛЬ с веточкой желтая ;кг;;Цукаты;432;;(банка 0.95 кг.);
71152;Глазурь БРИЛЛО КЛУБНИКА ;кг;;Глазурь;1'949.04;;(ведро 6 кг.);
71119;Глазурь БРИЛЛО КАРАМЕЛЬ ;кг;;Глазурь;1'656.00;;(ведро 6 кг.);
71117;Глазурь БРИЛЛО ШОКОЛАД ;кг;;Глазурь;1'728.00;;(ведро 6 кг.);
71118;Глазурь БРИЛЛО БЕЛЫЙ ШОКОЛАД ;кг;;Глазурь;2'016.00;;(ведро 6 кг.);
70006;Глазурь желейная БРИЛГЕЛЬ ;кг;;Глазурь;1'620.00;;(ведро 6 кг.);
70001;Глазурь желейная БРИЛГЕЛЬ ;кг;;Глазурь;396;;(ведро 1 кг.);
70022;Глазурь желейная ФРИО ;кг;;Глазурь;1'512.00;;(ведро 7 кг.);
70043;Глазурь желейная КОЛДГЕЛЬ NEW ;кг;;Глазурь;1'188.00;;(ведро 6 кг.);
70101;Глазурь желейная ДЕКОРГЕЛЬ нейтральная ;кг;;Глазурь;432;;(ведро 1 кг.);
70325;Глазурь желейная абрикосовая ;кг;;Глазурь;4'248.00;;(ведро 25 кг.);
70401;Глазурь желейная НОВОГЕЛЬ нейтральная ;кг;;Глазурь;360;;(ведро 1 кг.);
70406;Глазурь желейная НОВОГЕЛЬ нейтральная ;кг;;Глазурь;1'332.00;;(ведро 6 кг.);
70408;Глазурь желейная НОВОГЕЛЬ нейтральная ;кг;;Глазурь;2'484.00;;(ведро 12 кг.);
70026;Глазурь желейная РОЯЛГЕЛЬ ;кг;;Глазурь;3'204.00;;(ведро 14 кг.);
70937;Глазурь гляссажная КОВЕРГЛАС ШОКОЛАД ;кг;;Глазурь;720;;(ведро 3 кг.);
70948;Глазурь гляссажная КОВЕРГЛАС БЕЛЫЙ ШОКОЛАД ;кг;;Глазурь;770,4;;(ведро 3 кг.);
